Source IDs,Source,Citation key,Year,Title,Authors,Journal/Venue,DOI/stable URL,Cit/yr,Study type,Setting / facility,AV/CAV technology,Primary theme,Theme flags,Relevance tier,Control dimension / method,Metrics / congestion mechanism,Lane-changing modeled?,Routing modeled?,Finding / note from upload,Limitations / caveats from upload,Citation detail flags,Deduplication status,Control dimension (standardized),Control method (standardized),Traffic setting (standardized),AV/CAV technology (standardized),Congestion mechanism (standardized),Evaluation metrics (standardized),DOI status,Row audit notes
Undermind #11,Undermind catalog,Ko et al. 2020,2020,Speed harmonisation and merge control using connected automated vehicles on a highway lane closure: a reinforcement learning approach,"Byungjin Ko, Seunghan Ryu, Byungkyu Brian Park, and Sang Hyuk Son",IET Intelligent Transport Systems,https://doi.org/10.1049/iet-its.2019.0709,3.3,RL simulation/benchmark,highway lane closure; merge control zone; speed harmonization zone; mixed traffic,CAV; connected human-driven vehicles; non-connected human-driven vehicles,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; Lateral/lane-changing control; Cooperative merging/platooning; RL/MARL,Tier 1,Deep Q-network speed harmonization and merge control using homogeneous team learning,throughput; fuel consumption; stop-and-go trajectories; lane-closure bottleneck congestion,Yes,No,Ko et al. 2020 trained CAVs with DQN for combined speed harmonization and merge control at a two-lane highway lane-closure bottleneck. The study found that the method improved mixed traffic flow by increasing throughput up to 30% and reducing fuel consumption up to 20% compared with late merge control without speed harmonization.,Simulation-only evidence; limited to a two-lane lane-closure scenario; throughput and fuel objectives showed a trade-off; the study did not compare alternative deep RL variants such as double DQN or dueling DQN.,Study details verified,Kept / merged unique record,Longitudinal; Lateral,RL/MARL; DQN; speed harmonization; merge control,highway lane closure bottleneck; merge area,CAV in mixed traffic,Bottleneck activation/throughput; Lane-changing friction / gaps; Stop-and-go waves,throughput; fuel consumption; trajectories,present,The study supports Tier 1 because CAVs act as traffic-control agents for lane-closure bottleneck decongestion.
Undermind #12; Undermind #148,Undermind catalog,An et al. 2023,2023,Speed Harmonization for Partially Connected and Automated Traffic,"Lianhua An, Xianfeng Yang, Dong-Kyu Kim, Jia Hu, Guan Wang, and Zhigang Xu",IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2023.3287336,0.8,Analytical/control design + microscopic simulation,multi-lane freeway segment; on-ramp bottleneck case study,CAV; HV; partially connected and automated traffic,Longitudinal control,Longitudinal control; Direct bottleneck/congestion mitigation,Tier 1,Feedback-linearization speed harmonization with PID control of CAV desired cruising speed,control accuracy; settling time; flow rate; cumulative delay; stops; capacity drop; breakdown prevention,No/unclear,No,An et al. 2023 proposed a speed harmonization controller that regulates total traffic flow by adjusting only CAV target cruising speeds in partially connected automated traffic. The study reported over 80% control accuracy and showed that bottleneck control increased flow rate by about 6% reduced stops by up to 90% and reduced delay by about 5% by preventing breakdown and capacity drop.,Simulation-only evidence; performance degrades for target demand drops above 20%; relies on traffic-state measurement and density estimates; benchmark is no-control rather than a broad set of competing controllers.,Study details verified,Kept / merged unique record,Longitudinal,Feedback linearization; PID; speed harmonization,multi-lane freeway; on-ramp bottleneck,CAV in mixed traffic,Capacity drop; Bottleneck activation/throughput; Traffic breakdown; Stop-and-go waves,control accuracy; settling time; flow rate; cumulative delay; stops,present,The study supports Tier 1 because the controller directly targets demand regulation and capacity-drop prevention using partial CAV penetration.
Undermind #13,Undermind catalog,M. Ramezani 2019,2019,Lane density optimisation of automated vehicles for highway congestion control,Mohsen Ramezani and Eric Ye,Transportmetrica B: Transport Dynamics,https://doi.org/10.1080/21680566.2019.1568925,5.6,Optimization/modeling + microsimulation,on-ramp merge; freeway bottleneck; highway segment/corridor; multiple-ramp freeway network,AV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Lateral/lane-changing control; Cooperative merging/platooning,Tier 1,Lateral lane-changing control; lane density optimization; lane-change advisory,on-ramp bottleneck; congestion onset delay; capacity drop mitigation; total travel time; travel time variation; lane density; ramp queues,Yes,No/unclear,Ramezani and Ye 2019 developed a two-level AV lane-changing control strategy with proactive lane density optimization upstream of merges and reactive merge-conflict avoidance near the bottleneck. Microsimulation showed reduced total travel time and travel time variation by delaying congestion onset and mitigating capacity drop with strong performance at moderate to high AV penetration but weaker performance when demand exceeded enhanced capacity.,Simulation-only evidence; AV and conventional vehicle car-following were parameterized similarly to isolate lateral-control effects; field validation and real mixed-traffic behavioral data were not available; performance declines at very high demand and may require integration with ramp metering.,Study details verified,Kept / merged unique record,Lateral,Optimization/optimal control; Rule-based advisory,on-ramp merge; freeway bottleneck; highway segment/corridor; network,AV,Congestion onset; Capacity drop; Lane-changing friction / merging turbulence; Bottleneck activation/throughput,total travel time; travel time variation; lane density; ramp queue length; lane changes; throughput/capacity,present,Study details verified; DOI present; study type and control method revised from needs verification
Undermind #14,Undermind catalog,Sungyong Chung 2024,2024,Gap setting control strategy for connected and automated vehicles in freeway lane-drop bottlenecks,"Sungyong Chung, Dongju Ka, Yongju Kim, and Chungwon Lee",IET Intelligent Transport Systems,https://doi.org/10.1049/itr2.12538,1.7,Simulation,freeway lane-drop bottleneck; freeway segment/corridor; real-world freeway network,ACC; CAV; AV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; Lateral/lane-changing effects; Negative or mixed effects,Tier 1,Longitudinal gap-setting control; PID occupancy feedback; merging support with new gap setting,lane-drop bottleneck; capacity drop; bottleneck occupancy control; mandatory lane-changing conflicts; throughput; travel time; delay; stops; conflicts,Yes,No/unclear,Chung et al. 2024 proposed inflow control and combined control that adjust CAV/ACC gap settings at lane-drop bottlenecks using PID occupancy feedback and a new merging-oriented gap setting. VISSIM simulations showed lower travel time delay stops and conflicts while maintaining high throughput with stronger benefits at higher CAV market penetration rates and a 9.7% average travel-time reduction in a calibrated real-world network scenario.,Simulation-based evidence only; lateral behavior of CAVs was assumed similar to HDVs; only selected commercial AV gap settings were calibrated; effectiveness depends on CAV penetration and driver compliance when implemented through VMS; field tests are still needed.,Study details verified,Kept / merged unique record,Longitudinal; Lateral support,PID feedback/control-theoretic; Gap-setting control,freeway bottleneck; freeway segment/corridor,ACC; CAV; AV,Capacity drop; Bottleneck activation/throughput; Lane-changing friction / gaps; Queue formation/discharge,travel time; delay; number of stops; conflicts; throughput; density/occupancy; market penetration sensitivity,present,Study details verified; DOI present; control dimension revised from needs verification to longitudinal gap-setting control with lateral merging effects
Undermind #15,Undermind catalog,Yu Han 2021,2021,A linear Lagrangian model predictive controller of macro- and micro- variable speed limits to eliminate freeway jam waves,"Yu Han, Meng Wang, Ziang He, Zhibin Li, Hao Wang, and Pan Liu",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2021.103121,11,Analytical/modeling + microscopic simulation,freeway segment/corridor; single-lane freeway; synthetic freeway stretch,CAV; connected vehicles,Direct bottleneck/congestion mitigation,Foundational theory; Direct bottleneck/congestion mitigation; Longitudinal control; Cooperative mobile actuators,Tier 1,Longitudinal speed control; hierarchical VSL; MPC,freeway jam waves; stop-and-go waves; capacity drop; total time spent; total travel distance; speed and flow contours; throughput; wave dissipation,No/unclear,No/unclear,Han et al. 2021 developed a linear MPC for variable speed limits based on a discrete Lagrangian LWR model and extended it to a hierarchical CAV-actuated speed-control framework. Microscopic simulations showed that the MPC resolved freeway jam waves and reduced total time spent by 7.3% in VISSIM and by about 9.0% to 10.3% with 5% CAVs acting as mobile actuators in the hierarchical test.,Simulation-only validation; experiments used synthetic freeway settings and model-calibrated scenarios; hierarchical CAV test used a single-lane simulator with IDM+ human drivers; no field deployment and robustness to broader networks remains to be verified.,Bibliographic details verified,Kept / merged unique record,Longitudinal,MPC; VSL/speed control; Hierarchical control,freeway segment/corridor,CAV; CV,Stop-and-go waves / jam waves; Capacity drop; Bottleneck activation/throughput; Flow stability,total time spent; total travel distance; speed and flow contours; throughput; speed/stability; wave damping,present,Freeway-stretch and lane-closure test settings verified.
Undermind #16,Undermind catalog,Jintao Lai 2025,2025,A Multi-Centralized Strategy for Trajectory-Based Active Traffic Management With Cooperative Automation,"Jintao Lai, Zhen Zhang, Lianhua An, Shixingyue Hu, and Jia Hu",IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2025.3614981,not specified,Analytical/modeling + simulation,freeway bottleneck; lane-drop bottleneck; multi-segment freeway corridor,CAV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; Lateral/lane-changing control; Cooperative automation; Negative or mixed effects,Tier 1,Trajectory-based active traffic management using multi-centralized MILP control,bottleneck demand-capacity matching; flow-rate tracking; breakdown prevention; cruising discomfort; flow oscillation; impact range; computation time; lane-change smoothness,Yes,No,Lai et al. 2025 proposed a multi-centralized trajectory-based traffic management strategy for CAVs on a freeway corridor with a downstream lane-drop bottleneck. The simulation showed faster and more precise demand-flow tracking than VSL with reductions up to 91.6% in convergence time and 53.0% in cruising discomfort and 66.1% in traffic-flow oscillation and 83.5% in impact range but the approach was simulation based and assumed full CAV control in the main scenario.,Simulation-based evidence; main scenario assumes all vehicles are CAVs; multi-centralized decomposition can produce suboptimal lane-change decisions at segment junctions; authors recommend avoiding segment junctions at high lane-change locations.,Study details verified,Kept / merged unique record,Longitudinal and lateral,Multi-centralized MILP trajectory optimization / flow regulation,freeway bottleneck; lane-drop bottleneck; multi-segment freeway corridor,CAV,Bottleneck activation/throughput; demand-capacity mismatch; traffic breakdown; flow oscillation; lane-changing friction,flow tracking error rate; tracking convergence time; vehicle cruising discomfort; traffic flow oscillation; impact range; computation time; lane-change smoothness,present,Study details verified and standardized
Undermind #17; Undermind #164,Undermind catalog,T. T. Phan 2020,2020,A Cooperative Space Distribution Method for Autonomous Vehicles at A Lane-Drop Bottleneck on Multi-Lane Freeways,"T. T. Phan, L. Le, and D. Ngoduy",IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2020.3040431,3.3,Analytical/modeling + simulation,lane-drop bottleneck; multi-lane freeway,AV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Lateral/lane-changing control; Longitudinal control; Cooperative merging/platooning,Tier 1,Cooperative space distribution method for AV trajectory and lane-change coordination,lane-drop throughput; safe-gap creation; queue and stopping vehicle reduction; average travel time; bottleneck efficiency,Yes,No,Phan et al. 2020 developed a cooperative space distribution method that divides the upstream lane-drop region into platoon acceleration and merging segments and controls AV velocity and position to create safe gaps. Simulations on a four-lane lane-drop bottleneck showed lower average travel time and fewer stopping vehicles than non-cooperative and cooperative velocity methods with CSDM efficiencies above 90% in tested scenarios but the evidence is simulation based and assumes AV-only cooperative control.,Simulation-only evaluation; assumes AVs can be centrally coordinated and communicate reliably; no mixed HDV-CAV behavior is modeled in the main experiments; field validation is not provided.,Study details verified,Kept / merged unique record,Longitudinal and lateral,Cooperative trajectory planning / space distribution / platoon-based lane-change control,lane-drop bottleneck; multi-lane freeway,AV,Bottleneck activation/throughput; capacity drop; queue formation; lane-changing friction / gaps,average travel time; number of stopping vehicles; average lane-changing velocity; efficiency; bottleneck throughput,present,Study details verified and standardized
Undermind #18,Undermind catalog,Hari Hara Sharan Nagalur Subraveti 2021,2021,On lane assignment of connected automated vehicles: strategies to improve traffic flow at diverge and weave bottlenecks,"Hari Hara Sharan Nagalur Subraveti, A. Srivastava, Soyoung Ahn, V. Knoop, and B. Arem",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2021.103126,4.9,Analytical/modeling + simulation,diverge bottleneck; weave bottleneck; freeway bottleneck; mixed traffic,CAV; AV; HDV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Lateral/lane-changing control; Cooperative merging/platooning,Tier 1,Strategic CAV lane assignment upstream of diverge and weave bottlenecks,lane-changing friction; void creation; bottleneck throughput loss; throughput improvement; delay reduction; compensatory HDV behavior,Yes,No,Nagalur Subraveti et al. 2021 proposed destination-based CAV lane-assignment strategies for mixed traffic at diverge and weave bottlenecks to move disruptive lane changes upstream of the bottleneck. Analytical formulation and numerical simulations showed throughput gains of several percent and up to 7% in reported cases even at low to moderate CAV penetration but the approach relies on simplified lane-changing and compliance assumptions and simulation-based validation.,Simulation-based evidence; assumes controllable fully compliant CAVs and no communication latency; analytical design simplifies traffic dynamics; instantaneous lane-changing and simplified compensatory HDV behavior are used in simulations.,Study details verified,Kept / merged unique record,Lateral,Strategic lane assignment / destination-based CAV lane-use control,diverge bottleneck; weave bottleneck; freeway bottleneck; mixed traffic,CAV; AV; HDV,Bottleneck activation/throughput; lane-changing friction / gaps; capacity drop; void creation,throughput; delay; lane-change counts; CAV penetration rate; exit flow; merge flow; compensation rate,present,Study details verified and standardized
Undermind #19; Perplexity table P12,Undermind catalog; Perplexity selected table,Lin Xiao 2018,2018,Unravelling effects of cooperative adaptive cruise control deactivation on traffic flow characteristics at merging bottlenecks,"Lin Xiao, Meng Wang, Wouter Schakel, and Bart van Arem",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2018.10.008,27,Analytical/modeling + microscopic simulation,merge/merging area; freeway bottleneck; highway segment/corridor,CACC; ACC; AV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; Cooperative merging/platooning; Negative or mixed effects,Tier 1,Rule-based CACC with ACC/manual deactivation and reactivation logic,merging capacity; queue discharge flow; capacity drop; flow-density relation; CACC operation ratio; flow heterogeneity,Yes,No/unclear,Xiao et al. 2018 studied CACC operation with deactivation to ACC or manual driving at a freeway merging bottleneck using microscopic simulation. The study found that higher CACC market penetration increased roadway and merging capacity but merging capacity remained below pipeline capacity and capacity drop persisted at all CACC levels due to deactivation and mode-switching effects.,"Simulation-based evidence using modeled CACC behavior and assumptions about deactivation, reactivation, time gaps, string length, communication, and lane-changing behavior; field validation of bottleneck impacts was not provided.",Study details verified,Retained after duplicate merge,Longitudinal; Lateral/merging; Cooperative,ACC/CACC with authority transition logic; microscopic simulation,merge/merging area; freeway bottleneck; highway segment/corridor,CACC; ACC; AV,Capacity drop; bottleneck throughput loss; merging turbulence; flow heterogeneity,merging capacity; queue discharge flow; theoretical capacity; pipeline capacity; capacity drop; flow-density curves; speed-density curves; CACC operation ratio,DOI verified,"Standardized from the published study: full authors, simulation design, metrics, findings, and limitations"
Undermind #20,Undermind catalog,Han Wang 2025,2025,Hierarchical Speed Planner for Automated Vehicles: A Framework for Lagrangian Variable Speed Limit in Mixed-Autonomy Traffic,"Han Wang, Zhe Fu, Jonathan W. Lee, Hossein Nick Zinat Matin, Arwa Alanqary, Daniel Urieli, Sharon Hornstein, Abdul Rahman Kreidieh, Raphael Chekroun, William Barbour, William A. Richardson, Dan Work, Benedetto Piccoli, Benjamin Seibold, Jonathan Sprinkle, Alexandre M. Bayen, and Maria Laura Delle Monache",IEEE Control Systems,https://doi.org/10.1109/MCS.2024.3499212,2.7,Analytical/modeling + simulation + field/operational test,freeway bottleneck; freeway segment/corridor; open-road freeway field test,AV; connected AV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; Speed harmonization; RL/MARL; Field/experimental evidence,Tier 1,Hierarchical Lagrangian variable speed limit with server-side speed planner and vehicle-side controllers,bottleneck throughput; density; speed standard deviation; energy/fuel efficiency; traffic smoothing; congestion formation,No/unclear,No/unclear,"Wang et al. 2025 developed a hierarchical Lagrangian VSL speed planner for mixed-autonomy freeway traffic using traffic state estimation, kernel smoothing, and RL-based buffer design. Simulations reported a 5.01% bottleneck throughput increase and a 34.36% speed-standard-deviation reduction, while the open-road MegaVanderTest with 100 AVs showed density reductions around bottleneck congestion formation.","Simulation used a simplified single-lane bottleneck environment and field performance depended on driver engagement, latency, traffic-state estimation quality, and human acceptance; the article emphasizes that full potential requires broader technological and human-factor integration.",Study details verified,Kept / merged unique record,Longitudinal,Lagrangian VSL; hierarchical control; RL-based speed planner; TSE enhancement; kernel smoothing; buffer design,freeway bottleneck; freeway segment/corridor; open-road freeway field test,AV; connected AV,Bottleneck congestion formation; shockwave propagation; density concentration; traffic smoothing,bottleneck throughput; upstream density; speed standard deviation; MPG; fuel consumption; VMT; average speed; density reduction,DOI verified,Updated year and venue from the published study; current version is 2025 IEEE Control Systems with DOI 10.1109/MCS.2024.3499212
Undermind #21,Undermind catalog,Bernat Goñi-Ros 2019,2019,Using advanced adaptive cruise control systems to reduce congestion at sags: An evaluation based on microscopic traffic simulation,"Bernat Goñi-Ros, Wouter J. Schakel, Alexandros E. Papacharalampous, Meng Wang, Victor L. Knoop, Ichiro Sakata, Bart van Arem, and Serge P. Hoogendoorn",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2019.02.021,7.6,Microscopic traffic simulation,sag curve; freeway bottleneck; freeway segment/corridor,ACC; C-ACC,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; Cooperative merging/platooning,Tier 1,"Basic ACC, traffic-state-adaptive ACC, and cooperative ACC controllers",average travel time; average vehicle delay; queue discharge capacity; sag capacity; maximum queue length; congestion prevention,Yes,No/unclear,"Goñi-Ros et al. 2019 evaluated basic ACC, traffic-state-adaptive ACC, and cooperative ACC for congestion mitigation at freeway sags using microscopic simulation. The study found that congestion decreased as ACC penetration increased, that high B-ACC penetration could prevent sag congestion, and that TSA-ACC and C-ACC reduced congestion more than B-ACC mainly by increasing queue discharge capacity.",Simulation-only study with manually tuned controller parameters and assumed ACC behavior; the authors note that controller optimization and technical implementation characteristics were outside the study scope.,Study details verified,Kept / merged unique record,Longitudinal,ACC/CACC; traffic-state-adaptive ACC; microscopic simulation,sag curve; freeway bottleneck; freeway segment/corridor,ACC; C-ACC,Sag bottleneck activation; capacity drop; queue formation/discharge; stop-and-go waves,average travel time; average vehicle delay; maximum queue length; speed-contour plots; queue discharge capacity; sag capacity,DOI verified,"Standardized from the published study: full authors, controller types, setting, metrics, findings, and limitations"
Undermind #22,Undermind catalog,Mingfeng Shang 2021,2021,Impacts of commercially available adaptive cruise control vehicles on highway stability and throughput,Mingfeng Shang and Raphael E. Stern,Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2020.102897,21,Analytical/modeling + simulation,highway segment/corridor; on-ramp merge,ACC; AV,Negative or mixed effects,Longitudinal control; Negative or mixed congestion effects; Foundational string stability,Tier 1,IDM-based ACC modeling using calibrated commercially available ACC parameters and theoretical ACC comparison,String stability; bottleneck capacity; highway throughput; market penetration effects,Yes,No,Shang and Stern 2021 modeled theoretical ACC and commercially available ACC in mixed highway traffic. The study found that theoretical ACC increased bottleneck capacity by up to 7% while commercially available ACC could reduce capacity by up to 35% due to string instability and larger time gaps.,Simulation used IDM parameters calibrated from selected ACC experiments and a hypothetical highway segment. Results depend on model calibration and may not represent all commercial ACC systems.,Study details verified,Kept / merged unique record,Longitudinal,ACC car-following simulation; string stability analysis,highway segment/corridor; on-ramp merge,ACC; AV,String instability; bottleneck capacity loss; throughput reduction,String stability; bottleneck capacity; downstream throughput; market penetration rate; time gap,present,The study confirms DOI and adds calibrated CA-ACC modeling with SUMO throughput analysis and negative capacity effects
Undermind #23,Undermind catalog,Youngjun Han 2020,2020,Variable Speed Release (VSR): Speed Control to Increase Bottleneck Capacity,Youngjun Han and Soyoung Ahn,IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2019.2891314,3.3,Analytical/modeling + simulation,freeway bottleneck; lane-drop bottleneck; merge bottleneck,CAV; AV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; Longitudinal control; Speed control; Capacity-drop prevention,Tier 1,Variable Speed Release speed control for bottleneck approach speed increase,Bottleneck capacity; stochastic traffic breakdown; capacity drop; delay; discharge rate,Yes,No,Han and Ahn 2020 proposed Variable Speed Release to increase vehicle speed near bottlenecks and reduce stochastic breakdown probability. VISSIM results showed discharge-rate gains up to 20.5% and delay reduction up to 93.6% in CAV scenarios but benefits were smaller for manual vehicles.,The method assumes ideal geometry and high compliance. The authors note that heterogeneous traffic flow dynamic response time safety tradeoffs and external CAV behavior models need further study.,Bibliographic details verified,Kept / merged unique record,Longitudinal,Speed control; Variable Speed Release; complementary VSL or ramp metering,freeway bottleneck; lane-drop bottleneck; merge bottleneck,CAV; AV,Bottleneck activation; stochastic breakdown; capacity drop,Discharge rate; total delay; average delay; breakdown probability; breakdown flow rate,present,No-VSR baseline and VSR scenario structure verified.
Undermind #24,Undermind catalog,Eugene Vinitsky 2023,2023,Optimizing Mixed Autonomy Traffic Flow with Decentralized Autonomous Vehicles and Multi-Agent Reinforcement Learning,"Eugene Vinitsky, Nathan Lichtlé, Kanaad Parvate, and Alexandre Bayen",ACM Transactions on Cyber-Physical Systems,https://doi.org/10.1145/3582576,6.2,Analytical/modeling + simulation,freeway bottleneck; lane-reduction bottleneck; Bay Bridge scaled model,AV,Direct bottleneck/congestion mitigation,Direct bottleneck/congestion mitigation; RL/MARL; Longitudinal control; Mobile actuation,Tier 1,Decentralized AV acceleration control using multi-agent reinforcement learning with feedback-control and ALINEA baselines,Bottleneck throughput; capacity drop; inflow restriction; penetration-rate robustness; sensing assumptions,No,No,Vinitsky et al. 2023 studied decentralized AV acceleration control with multi-agent reinforcement learning in a two-stage lane-reduction bottleneck. The study reported bottleneck throughput improvements from 20% at 5% AV penetration to 33% at 40% penetration and showed RL outperforming tuned feedback control.,The study is simulation-based with SUMO and Flow and disables lane changing in the main experiments while later showing that lane changing can degrade performance. Training instability and simplified radar sensing are also noted limitations.,Study details verified,Kept / merged unique record,Longitudinal,Multi-agent reinforcement learning; decentralized feedback control; mobile metering,freeway bottleneck; lane-reduction bottleneck,AV,Capacity drop; bottleneck throughput loss; queue formation; inflow regulation,Bottleneck outflow; throughput; penetration rate; inflow-outflow curves; controller robustness,present,The study confirms DOI and adds detailed MARL setup with local sensing variants and lane-changing caveats
