corpus_id,manuscript_reference_number,citation_key,year,title,authors,journal_venue,doi_or_stable_url,manuscript_reference,review_role,coding_source,coding_completeness,study_type,av_cav_technology,primary_theme,relevance_tier,av_cav_decision_lever,design_method,coordination_implementation_mode,operational_application,facility_system_scale,mixed_traffic_condition,evidence_setting,congestion_mechanism,congestion_metric,key_finding,main_limitation,lane_changing_modeled,routing_modeled,source_ids,source,verification_status,audit_note,legacy_control_dimension,legacy_control_method,legacy_traffic_setting,legacy_congestion_mechanism,legacy_evaluation_metrics
M011,11,Jieming Chen 2024,2024,An Integrated Approach to Optimal Merging Sequence Generation and Trajectory Planning of Connected Automated Vehicles for Freeway On-Ramp Merging Sections,"Jieming Chen, Yue Zhou, and E-S Chung",IEEE Transactions on Intelligent Transportation Systems,https://doi.org/10.1109/TITS.2023.3315650,"Chen, J., Zhou, Y., & Chung, E. (2023). An integrated approach to optimal merging sequence generation and trajectory planning of connected automated vehicles for freeway on-ramp merging sections. IEEE Transactions on Intelligent Transportation Systems, 25(2), 1897-1912. https://doi.org/10.1109/TITS.2023.3315650",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling + simulation,CAV; AV,Direct bottleneck/congestion mitigation,Tier 1,Merge/yield/gap-acceptance decision,Optimal control,Cooperative V2V,Cooperative merging / coordinated gap creation / ramp coordination; Integrated longitudinal–lateral bottleneck control,on-ramp merge; freeway bottleneck; freeway segment/corridor,CAV; AV; HDV/mixed-traffic behavior,Analytical/theoretical; Simulation,Merging turbulence; Bottleneck activation/throughput; Speed variance,travel delay; speed variation; time gap/safety; computation time,Chen 2024 proposed an integrated MINLP approach that jointly optimizes CAV merging sequence and continuous-time trajectories at freeway on-ramp merging sections. The study reported lower travel delay than benchmark CAV merging methods and reduced speed variation while maintaining time-gap safety but evidence is simulation-based with mainly CAV-only assumptions.,Limited to one mainline lane and one on-ramp in the main model. Lane-changing by mainline vehicles is not modeled. The authors note future work should extend to multilane scenarios and relax the 100% CAV assumption for mixed traffic.,Merging modeled; lane-changing not explicitly modeled,No/unclear,Undermind #35,Undermind catalog,matched to uploaded coded matrix,,Lateral/merging; Longitudinal,MINLP; Optimal control; Trajectory planning; Cooperative merging,on-ramp merge; freeway bottleneck; freeway segment/corridor,Merging turbulence; Bottleneck activation/throughput; Speed variance,travel delay; speed variation; time gap/safety; computation time
M012,12,Sungyong Chung 2024,2024,Gap setting control strategy for connected and automated vehicles in freeway lane-drop bottlenecks,"Sungyong Chung, Dongju Ka, Yongju Kim, and Chungwon Lee",IET Intelligent Transport Systems,https://doi.org/10.1049/itr2.12538,"Chung, S., Ka, D., Kim, Y., & Lee, C. (2024). Gap setting control strategy for connected and automated vehicles in freeway lane-drop bottlenecks. IET Intelligent Transport Systems. https://doi.org/10.1049/itr2.12538",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Simulation,ACC; CAV; AV,Direct bottleneck/congestion mitigation,Tier 1,Desired time headway/spacing gap,Rule-based/control law,Individual/onboard or not clearly specified,Cooperative merging / coordinated gap creation / ramp coordination; Speed harmonization / dynamic headway / bottleneck-inflow regulation,freeway bottleneck; freeway segment/corridor,ACC; CAV; AV; Penetration/controllable-share assumption; HDV/mixed-traffic behavior; Compliance assumption,Analytical/theoretical; Simulation,Capacity drop; Bottleneck activation/throughput; Lane-changing friction / gaps; Queue formation/discharge,travel time; delay; number of stops; conflicts; throughput; density/occupancy; market penetration sensitivity,Chung et al. 2024 proposed inflow control and combined control that adjust CAV/ACC gap settings at lane-drop bottlenecks using PID occupancy feedback and a new merging-oriented gap setting. VISSIM simulations showed lower travel time delay stops and conflicts while maintaining high throughput with stronger benefits at higher CAV market penetration rates and a 9.7% average travel-time reduction in a calibrated real-world network scenario.,Simulation-based evidence only; lateral behavior of CAVs was assumed similar to HDVs; only selected commercial AV gap settings were calibrated; effectiveness depends on CAV penetration and driver compliance when implemented through VMS; field tests are still needed.,Yes,No/unclear,Undermind #14,Undermind catalog,matched to uploaded coded matrix,,Longitudinal; Lateral support,PID feedback/control-theoretic; Gap-setting control,freeway bottleneck; freeway segment/corridor,Capacity drop; Bottleneck activation/throughput; Lane-changing friction / gaps; Queue formation/discharge,travel time; delay; number of stops; conflicts; throughput; density/occupancy; market penetration sensitivity
M013,13,Shumo Cui 2017,2017,Stabilizing traffic flow via a single autonomous vehicle: Possibilities and limitations,"Shumo Cui, Benjamin Seibold, Raphael E. Stern, and Daniel B. Work",2017 IEEE Intelligent Vehicles Symposium (IV),https://doi.org/10.1109/IVS.2017.7995897,"Cui, S., Seibold, B., Stern, R. E., & Work, D. B. (2017). Stabilizing traffic flow via a single autonomous vehicle: Possibilities and limitations. 2017 IEEE Intelligent Vehicles Symposium (IV). https://doi.org/10.1109/IVS.2017.7995897",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/control-theoretic study with simulation,AV,Sparse AV traffic smoothing / stop-and-go wave damping,Tier 1,Acceleration/deceleration; Desired time headway/spacing gap,Rule-based/control law,Individual/onboard or not clearly specified,Traffic smoothing / mobile-actuator control,Ring road; mixed car-following simulation,AV,Analytical/theoretical; Simulation,Stop-and-go waves; string instability; noise amplification,Eigenvalues; stability condition; control gain; perturbation growth; velocity standard deviation,"Cui et al. studied whether a single AV can locally stabilize otherwise unstable human car-following flow on a ring road. The study showed that a single AV can theoretically stabilize the linearized noiseless system, but persistent noise is amplified with distance from the AV, limiting practical stabilization to roughly 20–40 vehicles under the tested conditions.","Analytical and simulation-based ring-road study; assumes simplified car-following dynamics and one AV with equilibrium-speed feedback, excludes lane changing and real multilane cut-ins, and notes that large gaps or noise impose practical limits before field validation.",No,No,Undermind #152; Perplexity table P7,Undermind catalog; Perplexity selected table,matched to uploaded coded matrix,,Longitudinal,Control-theoretic feedback; sparse AV stabilization,Ring road; mixed car-following simulation,Stop-and-go waves; string instability; noise amplification,Eigenvalues; stability condition; control gain; perturbation growth; velocity standard deviation
M014,14,Daganzo 1994,1994,The cell transmission model: A dynamic representation of highway traffic consistent with the hydrodynamic theory,Carlos F. Daganzo,"Transportation Research Part B: Methodological, 28(4), 269–287",https://doi.org/10.1016/0191-2615(94)90002-7,"Daganzo, C. F. (1994). The cell transmission model: A dynamic representation of highway traffic consistent with the hydrodynamic theory. Transportation research part B: methodological, 28(4), 269-287.",Included as mechanism-supporting evidence,Manual full-text coding from uploaded PDF,Mechanism-supporting coding from full text,Foundational analytical/macroscopic traffic-flow model,Not applicable,Foundational traffic-flow theory,Mechanism-supporting,Not applicable,Not applicable,Not applicable,Not applicable,Highway link / freeway,Not applicable,Analytical/theoretical,Queue formation/discharge; shockwave propagation; stop-and-go traffic,Flow; density; queue propagation/dissipation; shockwave location,"Introduces the cell transmission model as a discrete representation of hydrodynamic traffic flow that reproduces queue building, propagation, dissipation, and shockwave behavior.",Foundational traffic-flow model; does not by itself evaluate AV/CAV congestion-control effectiveness.,No,No,,Manuscript reference + uploaded PDF/audit verification,verified outside coded matrix — uploaded full-text PDF,"Full text supplied and verified. Foundational cell-transmission-model paper on queue building, propagation, dissipation, and shockwaves. Retained as mechanism-supporting/foundational evidence; not used as an operational application row or Figure 2 marker-support study.",,,,,
M015,15,Daganzo 1995,1995,"The cell transmission model, part II: Network traffic",Carlos F. Daganzo,"Transportation Research Part B: Methodological, 29(2), 79–93",https://doi.org/10.1016/0191-2615(94)00022-R,"Daganzo, C. F. (1995). The cell transmission model, part II: network traffic. Transportation Research Part B: Methodological, 29(2), 79-93.",Included as mechanism-supporting evidence,Manual full-text coding from uploaded PDF,Mechanism-supporting coding from full text,Foundational network traffic-flow model,Not applicable,Foundational traffic-flow/network theory,Mechanism-supporting,Not applicable,Not applicable,Not applicable,Not applicable,Road network / freeway network,Not applicable,Analytical/theoretical; Network/demand model,Queue formation/discharge; finite-capacity network congestion; physical queue propagation/spillback,Link occupancy; inflow/outflow; queue/storage states; network travel conditions,"Extends the cell transmission model to network traffic and finite-capacity junction interactions, providing a kinematic-wave-consistent basis for network traffic and dynamic assignment analysis.",Foundational network-flow model; not an AV/CAV control-effectiveness study.,No,Route/path representation supported at network level,,Manuscript reference + uploaded PDF/audit verification,verified outside coded matrix — uploaded full-text PDF,"Full text supplied and verified. Foundational network extension of the cell transmission model, including finite-capacity network traffic and dynamic traffic assignment foundations. Mechanism-supporting/foundational only; not used as operational application-map support.",,,,,
M016,16,Daganzo 2002,2002,Ten strategies for freeway congestion mitigation with advanced technologies,Carlos F. Daganzo; Jorge Laval; Juan Carlos Muñoz,California PATH Research Report UCB-ITS-PRR-2002-3,https://escholarship.org/uc/item/4kd6v6qf,"Daganzo, C. F., Laval, J., & Muñoz, J. C. (2002). Ten strategies for freeway congestion mitigation with advanced technologies.",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Conceptual strategy report,N/A,Direct bottleneck/congestion mitigation,Tier 3,Desired speed; Lane choice; Entry/access/release decision,Rule-based/control law,Individual/onboard or not clearly specified,Speed harmonization / dynamic headway / bottleneck-inflow regulation,Freeway bottleneck; freeway corridor,N/A,Not clearly specified,Bottleneck activation/throughput; lane-changing friction / gaps; queueing/delay,throughput/capacity; delay/travel time/queue; speed/flow,Daganzo et al. 2002 proposed ten technology-enabled freeway congestion mitigation strategies targeting bottleneck capacity and total delay. The report argued that dynamic lane assignments ramp metering HOV management speed limits diversion and shoulder-lane use can be field-tested with direct performance measures but it is not an AV/CAV control paper.,Conceptual report; strategies require field testing; benefits are argued from traffic-flow reasoning and prior observations rather than evaluated with a unified simulation or field experiment in this report.,Yes conceptual,Yes conceptual,Perplexity bibliography,Perplexity bibliography,matched to uploaded coded matrix,,Network/control; Lateral/merging,Traffic management; ramp metering; VSL/speed control,Freeway bottleneck; freeway corridor,Bottleneck activation/throughput; lane-changing friction / gaps; queueing/delay,throughput/capacity; delay/travel time/queue; speed/flow
M017,17,Yu Du 2023,2023,Adaptive Control with Moving Actuators at Motorway Bottlenecks with Connected and Automated Vehicles,"Yu Du, Michail A. Makridis, Chris M.J. Tampère, Anastasios Kouvelas, and Wei ShangGuan",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2023.104319,"Du, Y., Makridis, M. A., Tampère, C. M. J., Kouvelas, A., & ShangGuan, W. (2023). Adaptive control with moving actuators at motorway bottlenecks with connected and automated vehicles. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2023.104319",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Microsimulation and control design,CAV; mixed HDV-CAV,Direct bottleneck/congestion mitigation,Tier 1,Desired speed,Optimal control; Rule-based/control law,Individual/onboard or not clearly specified,Speed harmonization / dynamic headway / bottleneck-inflow regulation; Traffic smoothing / mobile-actuator control,motorway bottleneck; freeway segment/corridor,CAV; mixed HDV-CAV; Penetration/controllable-share assumption; HDV/mixed-traffic behavior,Analytical/theoretical; Simulation,Bottleneck activation/throughput; spillback; lane-changing friction,throughput/capacity; delay/travel time/queue; speed/stability; density/occupancy,Du et al. 2023 proposed adaptive speed control using CAVs as moving actuators upstream of motorway bottlenecks in mixed traffic. The Aimsun Antwerp case study found lower density and delay plus higher speed and flow even at low CAV penetration rates with rush-hour delay reductions around 18 to 26 percent in the region of interest when penetration exceeded 20 percent.,Simulation-only evidence from one Antwerp case. Low penetration reduces actuator availability. Extra lane changes may create uncertainty. Lane-change plus speed control and interacting bottlenecks are left for future work.,Yes,No/unclear,Undermind #4,Undermind catalog,matched to uploaded coded matrix,,Longitudinal,Feedback/control-theoretic; LQR; Moving-actuator speed control; FD-based activation,motorway bottleneck; freeway segment/corridor,Bottleneck activation/throughput; spillback; lane-changing friction,throughput/capacity; delay/travel time/queue; speed/stability; density/occupancy
M018,18,Elmorshedy et al. 2023,2023,Freeway Congestion Management With Reinforcement Learning Headway Control of Connected and Autonomous Vehicles,"Lina Elmorshedy, Ilia Smirnov, and Baher Abdulhai",Transportation Research Record,https://doi.org/10.1177/03611981231152459,"Elmorshedy, L., Smirnov, I., & Abdulhai, B. (2023). Freeway congestion management with reinforcement learning headway control of connected and autonomous vehicles. Transportation Research Record. https://doi.org/10.1177/03611981231152459",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling + microscopic simulation,ACC; CAV; AV,Direct bottleneck/congestion mitigation,Tier 1,Desired time headway/spacing gap,RL/MARL,Individual/onboard or not clearly specified,Speed harmonization / dynamic headway / bottleneck-inflow regulation,freeway bottleneck; on-ramp merge; freeway segment/corridor,ACC; CAV; AV,Analytical/theoretical; Simulation,bottleneck activation; capacity loss; traffic breakdown; demand pacing,average network delay; freeway delay; ramp delay; throughput; flow-density diagram; flow; speed,Elmorshedy et al. 2023 developed a PPO-based RL headway controller that dynamically assigns ACC time headways by freeway section near an on-ramp bottleneck. The study showed that static short-headway strategies still broke down and that dynamic ramp-only headway control reduced total delay by 56.71 percent relative to uncontrolled ACC and by 32.43 percent relative to 0.8 s headway while shifting the bottleneck toward free-flow operation.,Simulation-only Aimsun study with 100 percent ACC vehicles high-demand on-ramp scenario assumed infrastructure control of headways and a tradeoff of increased ramp delay when ramp headways meter demand.,Yes,No,Undermind #31,Undermind catalog,matched to uploaded coded matrix,,Longitudinal,RL/MARL; PPO; Headway control; Demand pacing,freeway bottleneck; on-ramp merge; freeway segment/corridor,bottleneck activation; capacity loss; traffic breakdown; demand pacing,average network delay; freeway delay; ramp delay; throughput; flow-density diagram; flow; speed
M019,19,A. Ghiasi 2019,2019,A mixed traffic speed harmonization model with connected autonomous vehicles,"A. Ghiasi, X. Li, and Jiaqi Ma",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2019.05.005,"Ghiasi, A., Li, X., & Ma, J. (2019). A mixed traffic speed harmonization model with connected autonomous vehicles. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2019.05.005",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling + simulation,CAV; CV; HV,Direct bottleneck/congestion mitigation,Tier 1,Acceleration/deceleration; Desired speed,Optimal control,Individual/onboard or not clearly specified,Speed harmonization / dynamic headway / bottleneck-inflow regulation,freeway bottleneck; freeway segment/corridor,CAV; CV; HV,Analytical/theoretical; Simulation,Stop-and-go waves / flow stability; Bottleneck activation/throughput,throughput/capacity; speed/stability; fuel/emissions/energy; safety surrogate,Ghiasi et al. 2019 proposed CAV trajectory smoothing for mixed HV-CV-CAV freeway traffic near a bottleneck. The simulations showed smoother trajectories and improvements in throughput speed variation fuel consumption and surrogate safety by damping backward deceleration waves.,Simulation-only evidence with stochastic car-following; developed mainly for a single-lane freeway without lane changing or overtaking; multi-lane extension and real-world trajectory validation remain future work,No,No,Undermind #7,Undermind catalog,matched to uploaded coded matrix,,Longitudinal,Trajectory optimization; speed harmonization; prediction-based control,freeway bottleneck; freeway segment/corridor,Stop-and-go waves / flow stability; Bottleneck activation/throughput,throughput/capacity; speed/stability; fuel/emissions/energy; safety surrogate
M020,20,Goñi-Ros et al. 2016,2016,Optimization of traffic flow at freeway sags by controlling the acceleration of vehicles equipped with in-car systems,"Bernat Goñi-Ros, Victor L. Knoop, Toshimichi Takahashi, Ichiro Sakata, Bart van Arem, and Serge P. Hoogendoorn",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2016.06.022,"Goñi-Ros, B., Knoop, V. L., Takahashi, T., Sakata, I., van Arem, B., & Hoogendoorn, S. P. (2016). Optimization of traffic flow at freeway sags by controlling the acceleration of vehicles equipped with in-car systems. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2016.06.022",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Analytical/modeling + simulation,in-car system; ACC/CACC-compatible AV,Direct bottleneck/congestion mitigation,Tier 1,Acceleration/deceleration,Optimal control,Centralized; Cooperative V2V,Speed harmonization / dynamic headway / bottleneck-inflow regulation,sag curve; freeway bottleneck; freeway segment/corridor,in-car system; ACC/CACC-compatible AV; Penetration/controllable-share assumption,Analytical/theoretical; Simulation,Bottleneck activation/throughput; stop-and-go waves; sag-induced congestion,delay/travel time/queue; throughput/capacity; speed/stability,Goñi-Ros et al. 2016 formulated a centralized optimal control problem that regulates acceleration of a small number of equipped vehicles on a single-lane freeway sag. The study found that a deceleration-acceleration-deceleration-acceleration maneuver can temporarily raise sag outflow and delay congestion formation with average vehicle delay reductions of about 2 to 11 percent compared with no control.,Simulation and optimization only. Single-lane sag without ramps or lane changing. Low penetration rates. Global optimality is not guaranteed. Implementation through a specific in-car system is left for future work.,No,No,Undermind #26,Undermind catalog,matched to uploaded coded matrix,,Longitudinal,Optimization/optimal control,sag curve; freeway bottleneck; freeway segment/corridor,Bottleneck activation/throughput; stop-and-go waves; sag-induced congestion,delay/travel time/queue; throughput/capacity; speed/stability
M021,21,Bernat Goñi-Ros 2019,2019,Using advanced adaptive cruise control systems to reduce congestion at sags: An evaluation based on microscopic traffic simulation,"Bernat Goñi-Ros, Wouter J. Schakel, Alexandros E. Papacharalampous, Meng Wang, Victor L. Knoop, Ichiro Sakata, Bart van Arem, and Serge P. Hoogendoorn",Transportation Research Part C: Emerging Technologies,https://doi.org/10.1016/j.trc.2019.02.021,"Goñi-Ros, B., Schakel, W. J., Papacharalampous, A. E., Wang, M., Knoop, V. L., Sakata, I., van Arem, B., & Hoogendoorn, S. P. (2019). Using advanced adaptive cruise control systems to reduce congestion at sags: An evaluation based on microscopic traffic simulation. Transportation Research Part C: Emerging Technologies. https://doi.org/10.1016/j.trc.2019.02.021",Included as direct evidence,Authoritative 216-record matrix; manuscript-linked retained reference,Coded record available in authoritative matrix; current-taxonomy fields harmonized for corpus,Microscopic traffic simulation,ACC; C-ACC,Direct bottleneck/congestion mitigation,Tier 1,Not clearly specified,Rule-based/control law,Cooperative V2V,Speed harmonization / dynamic headway / bottleneck-inflow regulation; Traffic smoothing / mobile-actuator control,sag curve; freeway bottleneck; freeway segment/corridor,ACC; C-ACC; Penetration/controllable-share assumption,Simulation,Sag bottleneck activation; capacity drop; queue formation/discharge; stop-and-go waves,average travel time; average vehicle delay; maximum queue length; speed-contour plots; queue discharge capacity; sag capacity,"Goñi-Ros et al. 2019 evaluated basic ACC, traffic-state-adaptive ACC, and cooperative ACC for congestion mitigation at freeway sags using microscopic simulation. The study found that congestion decreased as ACC penetration increased, that high B-ACC penetration could prevent sag congestion, and that TSA-ACC and C-ACC reduced congestion more than B-ACC mainly by increasing queue discharge capacity.",Simulation-only study with manually tuned controller parameters and assumed ACC behavior; the authors note that controller optimization and technical implementation characteristics were outside the study scope.,Yes,No/unclear,Undermind #21,Undermind catalog,matched to uploaded coded matrix,,Longitudinal,ACC/CACC; traffic-state-adaptive ACC; microscopic simulation,sag curve; freeway bottleneck; freeway segment/corridor,Sag bottleneck activation; capacity drop; queue formation/discharge; stop-and-go waves,average travel time; average vehicle delay; maximum queue length; speed-contour plots; queue discharge capacity; sag capacity
